,CLASSIFICATION,CLASSIFICATION_CODE,Area,bachelor_leased_q4,bachelor_avg_lease_rate_q4,1_bedroom_leased_q4,1_bedroom_avg_lease_rate_q4,2_bedrooms_leased_q4,2_bedrooms_avg_lease_rate_q4,3_bedrooms_leased_q4,3_bedrooms_avg_lease_rate_q4,bachelor_leased_q3,bachelor_avg_lease_rate_q3,1_bedroom_leased_q3,1_bedroom_avg_lease_rate_q3,2_bedrooms_leased_q3,2_bedrooms_avg_lease_rate_q3,3_bedrooms_leased_q3,3_bedrooms_avg_lease_rate_q3,bachelor_leased_q2,bachelor_avg_lease_rate_q2,1_bedroom_leased_q2,1_bedroom_avg_lease_rate_q2,2_bedrooms_leased_q2,2_bedrooms_avg_lease_rate_q2,3_bedrooms_leased_q2,3_bedrooms_avg_lease_rate_q2,bachelor_leased_q1,bachelor_avg_lease_rate_q1,1_bedroom_leased_q1,1_bedroom_avg_lease_rate_q1,2_bedrooms_leased_q1,2_bedrooms_avg_lease_rate_q1,3_bedrooms_leased_q1,3_bedrooms_avg_lease_rate_q1,area_sq_meters,perimeter_meters,park_count,ASSAULT_2023,ASSAULT_RATE_2023,AUTOTHEFT_2023,AUTOTHEFT_RATE_2023,BIKETHEFT_2023,BIKETHEFT_RATE_2023,BREAKENTER_2023,BREAKENTER_RATE_2023,HOMICIDE_2023,HOMICIDE_RATE_2023,ROBBERY_2023,ROBBERY_RATE_2023,SHOOTING_2023,SHOOTING_RATE_2023,THEFTFROMMV_2023,THEFTFROMMV_RATE_2023,THEFTOVER_2023,THEFTOVER_RATE_2023,total_stop_count,avg_stop_frequency,max_stop_frequency,total_line_length_meters,transit_line_density,distinct_route_count
0,Not an NIA or Emerging Neighbourhood,,Toronto C07,0,0,92,2667,79,3326,11,3632,0,0,137,2653,137,3424,16,3815,1,1900,129,2620,133,3251,15,3892,0,0,93,2496,111,3133,19,3501,0.0005252473913338,0.0925795179255376,10,200,756.143676757813,218,824.196594238281,21.0,79.3950881958008,53,200.378067016602,,,30.0,113.421546936035,1.0,3.7807183265686,150,567.107727050781,14.0,52.9300575256348,82,354.6219512195122,1344,1.0976450236355249,1.097068791114878,12
1,Not an NIA or Emerging Neighbourhood,,Toronto W08,9,2058,163,2453,141,3058,15,3570,11,2101,199,2391,138,3097,10,3555,1,2100,168,2435,121,3110,3,3325,1,1750,133,2370,116,2981,13,3217,0.0005773499494451,0.1152472525523295,10,25,197.784805297852,119,941.455688476563,2.0,15.8227844238281,63,498.417724609375,,,12.0,94.9367065429688,2.0,15.8227844238281,19,150.316452026367,5.0,39.5569610595703,60,270.7333333333333,547,0.8652431686091757,0.8647439087571717,8
2,Not an NIA or Emerging Neighbourhood,,Toronto E11,0,0,21,2320,9,2850,4,3263,0,0,12,2446,10,2765,3,3350,0,0,10,2018,10,2740,1,3500,0,0,9,2106,5,2695,2,2975,0.0009601269829485,0.2144437927225682,15,68,289.103363037109,102,433.655029296875,4.0,17.0060787200928,26,110.539520263672,1.0,4.25151968002319,22.0,93.5334396362305,3.0,12.7545595169067,47,199.821441650391,4.0,17.0060787200928,59,325.3050847457627,872,1.413493803395774,1.4121379716255702,12
3,Not an NIA or Emerging Neighbourhood,,Toronto W02,1,1850,49,2545,23,3214,2,3700,2,2138,39,2477,29,3274,0,0,1,1775,47,2472,21,3052,1,4000,0,0,44,2405,17,2956,4,3520,0.0002101054397706,0.0714923006476597,9,186,769.740112304688,42,173.812286376953,28.0,115.874855041504,57,235.888092041016,1.0,4.13838768005371,24.0,99.3213043212891,,,26,107.598083496094,4.0,16.5535507202148,53,443.2075471698113,1080,2.289831925598608,2.289350920516663,23
4,Not an NIA or Emerging Neighbourhood,,Toronto E07,0,0,120,2327,50,2818,15,3247,0,0,62,2459,38,2939,0,0,0,0,53,2397,49,2790,3,3217,0,0,32,2340,32,2714,2,2550,0.0008806315876002,0.1661700776506951,15,190,662.991149902344,129,450.136077880859,12.0,41.8731231689453,67,233.791610717773,,,18.0,62.809684753418,6.0,20.9365615844727,72,251.238739013672,11.0,38.3836975097656,119,348.3193277310924,1117,1.972778513732775,1.9710427512255355,19
5,Not an NIA or Emerging Neighbourhood,,Toronto C08,89,2171,840,2557,356,3390,31,4228,207,2296,1439,2652,700,3630,80,5844,199,2095,1346,2512,675,3470,89,4420,119,2080,909,2486,438,3325,27,4119,0.0001559173643994,0.0686494383267845,14,617,2230.89990234375,43,155.476013183594,99.0,357.956390380859,146,527.895263671875,7.0,25.3100471496582,56.0,202.480377197266,3.0,10.8471632003784,108,390.497894287109,25.0,90.3930282592773,62,570.1774193548387,1284,0.9275444746160618,0.9273998768715156,14
6,Neighbourhood Improvement Area,NIA,Toronto E09,1,2250,70,2446,38,2994,1,3200,9,2292,137,2559,102,3110,4,3825,7,2023,98,2445,80,2907,8,3538,3,2000,52,2415,48,2875,6,3250,0.0006419780494767,0.141448630814072,12,130,678.95751953125,50,261.137512207031,2.0,10.4455003738403,8,41.7820014953613,,,3.0,15.6682510375977,4.0,20.8910007476807,49,255.914764404297,3.0,15.6682510375977,36,390.1111111111111,1257,1.2270306618188054,1.2262434404467235,10
7,Not an NIA or Emerging Neighbourhood,,Toronto W02,1,1850,49,2545,23,3214,2,3700,2,2138,39,2477,29,3274,0,0,1,1775,47,2472,21,3052,1,4000,0,0,44,2405,17,2956,4,3520,0.0001989340866754,0.0884667843041833,10,31,361.094940185547,22,256.260925292969,1.0,11.6482238769531,15,174.723358154297,,,5.0,58.2411193847656,1.0,11.6482238769531,8,93.185791015625,2.0,23.2964477539063,22,236.5909090909091,759,0.516041835919717,0.5159391980265775,8
8,Not an NIA or Emerging Neighbourhood,,Toronto E09,1,2250,70,2446,38,2994,1,3200,9,2292,137,2559,102,3110,4,3825,7,2023,98,2445,80,2907,8,3538,3,2000,52,2415,48,2875,6,3250,0.0005493584040932,0.0953407478394053,9,242,1142.31762695313,150,708.048156738281,10.0,47.2032089233398,28,132.168991088867,,,52.0,245.456695556641,1.0,4.72032117843628,77,363.464721679688,20.0,94.4064178466797,84,429.9404761904762,2743,2.254603629923172,2.253365724524909,23
9,Not an NIA or Emerging Neighbourhood,,Toronto W04,1,1950,29,2430,30,2795,14,3149,2,2075,56,2400,29,2945,2,3375,2,1975,31,2315,26,2731,4,3313,1,1800,37,2286,27,2715,2,3550,0.0003917860440998,0.1031425688955042,11,163,847.017272949219,77,400.124725341797,5.0,25.9821243286133,39,202.660568237305,,,30.0,155.89274597168,,,54,280.60693359375,9.0,46.767822265625,63,317.95238095238096,820,1.77125685903646,1.7705631770934778,16
10,Not an NIA or Emerging Neighbourhood,,Toronto C08,89,2171,840,2557,356,3390,31,4228,207,2296,1439,2652,700,3630,80,5844,199,2095,1346,2512,675,3470,89,4420,119,2080,909,2486,438,3325,27,4119,9.024360837777196e-05,0.0423642726248316,9,654,2906.53759765625,45,199.991104125977,205.0,911.070617675781,120,533.309631347656,2.0,8.88849353790283,90.0,399.982208251953,5.0,22.2212352752686,113,502.199890136719,25.0,111.106170654297,27,533.1481481481482,1259,0.5647055599478332,0.5646546034789282,15
11,Neighbourhood Improvement Area,NIA,Toronto W05,3,1900,45,2433,21,2933,2,3200,1,1900,45,2473,24,2959,1,3500,2,1675,46,2429,20,2750,1,3500,3,1682,31,2384,17,2683,2,3275,0.0014812756594147,0.1994569645788375,16,406,1274.52514648438,264,828.755310058594,16.0,50.2275924682617,218,684.350952148438,,,104.0,326.479370117188,6.0,18.8353481292725,178,558.781982421875,40.0,125.568984985352,211,357.4834123222749,2079,6.302903617396416,6.293581088918848,24
12,Emerging Neighbourhood,EN,Toronto W09,0,0,1,2500,6,3042,3,3283,0,0,0,0,3,3083,0,0,0,0,0,0,3,3083,1,3500,0,0,0,0,6,2757,2,3567,0.0003130376108027,0.0942702480785674,6,52,450.606597900391,25,216.637786865234,1.0,8.66551113128662,12,103.986137390137,,,6.0,51.9930686950684,4.0,34.6620445251465,20,173.31022644043,2.0,17.3310222625732,59,245.59322033898303,652,0.9261362043925534,0.9258463796538962,8
13,Neighbourhood Improvement Area,NIA,Toronto E04,0,0,11,2289,9,2789,2,3075,0,0,16,2436,10,2703,1,3300,0,0,10,2367,22,2670,5,3190,0,0,12,2184,23,2542,3,2825,0.000400112291548,0.0813556404377031,8,314,1661.28771972656,45,238.082641601563,8.0,42.3258018493652,41,216.919738769531,,,30.0,158.721755981445,7.0,37.0350761413574,73,386.222961425781,12.0,63.4887046813965,72,509.4583333333333,3218,2.5075274279857283,2.506524536709524,29
14,Not an NIA or Emerging Neighbourhood,,Toronto C07,0,0,92,2667,79,3326,11,3632,0,0,137,2653,137,3424,16,3815,1,1900,129,2620,133,3251,15,3892,0,0,93,2496,111,3133,19,3501,0.0003224568995961,0.0823529207935802,14,115,585.450317382813,62,315.634063720703,6.0,30.5452327728271,40,203.634887695313,,,38.0,193.453140258789,,,53,269.816223144531,11.0,55.9995918273926,31,351.5483870967742,842,1.429044985997563,1.428584329123982,10
15,Not an NIA or Emerging Neighbourhood,,Toronto C01,124,2173,1422,2642,598,3715,64,4436,259,2330,2105,2799,959,4006,150,5284,260,2151,2137,2665,941,3756,131,5519,148,2124,1635,2589,703,3714,73,5334,0.0001602093188019,0.0551340797018769,4,79,552.756774902344,13,90.9599761962891,33.0,230.898406982422,35,244.892242431641,2.0,13.9938430786133,20.0,139.938430786133,2.0,13.9938430786133,30,209.907638549805,8.0,55.9753723144531,33,384.1212121212121,866,0.7199837054809874,0.719868375858864,6
16,Not an NIA or Emerging Neighbourhood,,Toronto E07,0,0,120,2327,50,2818,15,3247,0,0,62,2459,38,2939,0,0,0,0,53,2397,49,2790,3,3217,0,0,32,2340,32,2714,2,2550,0.0010607190400172,0.1833823916652542,8,89,332.672973632813,305,1140.05908203125,3.0,11.213695526123,76,284.080291748047,,,36.0,134.564346313477,3.0,11.213695526123,89,332.672973632813,24.0,89.7095642089844,150,292.05333333333334,1123,1.624374489178285,1.6226533099171088,15
17,Not an NIA or Emerging Neighbourhood,,Toronto C08,89,2171,840,2557,356,3390,31,4228,207,2296,1439,2652,700,3630,80,5844,199,2095,1346,2512,675,3470,89,4420,119,2080,909,2486,438,3325,27,4119,0.0001270240860146,0.0789653473550408,17,270,819.871276855469,34,103.243049621582,88.0,267.21728515625,77,233.815139770508,1.0,3.03656029701233,22.0,66.8043212890625,3.0,9.10968017578125,91,276.326965332031,15.0,45.5484008789063,15,590.6,1037,0.2257045249100818,0.2256758586404024,5
18,Not an NIA or Emerging Neighbourhood,,Toronto E01,3,2117,68,2520,72,3208,2,4200,2,2140,96,2571,84,3166,7,4344,7,1363,71,2613,64,3078,5,4060,5,1141,52,2626,32,3327,2,4550,0.0012309822495102,0.4534844339316388,33,330,1057.42114257813,82,262.753143310547,85.0,272.366058349609,96,307.613433837891,1.0,3.20430660247803,43.0,137.785186767578,3.0,9.61291980743408,90,288.387603759766,26.0,83.3119735717773,106,510.9905660377359,1182,1.2387914514816076,1.2372683960481925,17
19,Not an NIA or Emerging Neighbourhood,,Toronto C09,0,0,11,2680,18,4573,2,5750,0,0,20,3191,24,4340,0,0,0,0,17,2936,28,4091,1,6500,0,0,4,2538,13,5042,0,0,0.0005205361147924,0.1043872263695755,24,270,1196.01330566406,144,637.873779296875,45.0,199.335540771484,101,447.397552490234,1.0,4.42967891693115,24.0,106.312294006348,1.0,4.42967891693115,46,203.765228271484,23.0,101.882614135742,77,317.76623376623377,1052,2.621545898277645,2.620181998919878,14
20,Not an NIA or Emerging Neighbourhood,,Toronto W01,1,2200,106,2508,47,3254,6,3925,2,2713,83,2598,39,3572,7,4000,0,0,64,2594,43,3598,6,3989,3,2063,95,2552,73,3135,2,3919,0.0005979158323063,0.118002359743504,13,106,425.088226318359,54,216.554382324219,19.0,76.1950607299805,51,204.523574829102,1.0,4.01026630401611,9.0,36.0923957824707,3.0,12.0307989120483,40,160.41064453125,10.0,40.1026611328125,78,265.28205128205127,872,1.850046828461072,1.8489413171745277,22
21,Not an NIA or Emerging Neighbourhood,,Toronto W08,9,2058,163,2453,141,3058,15,3570,11,2101,199,2391,138,3097,10,3555,1,2100,168,2435,121,3110,3,3325,1,1750,133,2370,116,2981,13,3217,0.0011307202832301,0.1850072479554192,10,308,1075.53161621094,294,1026.64379882813,17.0,59.3637619018555,69,240.947021484375,3.0,10.4759578704834,36.0,125.711494445801,4.0,13.9679431915283,188,656.493347167969,59.0,206.027160644531,144,344.2986111111111,1203,3.700078317373128,3.695899289082187,23
22,Neighbourhood Improvement Area,NIA,Toronto W04,1,1950,29,2430,30,2795,14,3149,2,2075,56,2400,29,2945,2,3375,2,1975,31,2315,26,2731,4,3313,1,1800,37,2286,27,2715,2,3550,0.0002342177680656,0.0621422667519664,9,89,837.804748535156,36,338.887329101563,,,19,178.857192993164,,,2.0,18.8270740509033,3.0,28.2406101226807,14,131.789520263672,2.0,18.8270740509033,23,328.4782608695652,734,0.3712362305616256,0.3711493008007729,4
23,Not an NIA or Emerging Neighbourhood,,Toronto E04,0,0,11,2289,9,2789,2,3075,0,0,16,2436,10,2703,1,3300,0,0,10,2367,22,2670,5,3190,0,0,12,2184,23,2542,3,2825,0.0008264688537409,0.1704806279495552,15,279,922.070190429688,121,399.894256591797,8.0,26.4392890930176,59,194.989761352539,,,21.0,69.4031295776367,4.0,13.2196445465088,90,297.441986083984,9.0,29.7441997528076,123,363.1219512195122,1429,2.8444104327381736,2.842061557380584,24
